Proyecto;Tipo;Capacidad;Departamento;Municipio;Código Departamento;Código Municipio;Fecha estimada FPO;Energía [kWh/día];Usuarios;Inversión estimada [COP];Empleos estimados;Emisiones CO2 [Ton/año]
BRISAS – YAGUARÁ – AIPE;Solar;26;HUILA;YAGUARÁ;41;41885;2022-12-31T00:00:00.000;124.8;21,642; 97.500.000.000,00 ;181;36,442
DEL RIO Y MAGDALENA (CASABE - CANTAGALLO);Solar;6;BOLÍVAR;CANTAGALLO;13;13160;2023-12-31T00:00:00.000;28.8;4,994; 22.500.000.000,00 ;42;8,41
OCELOTE;Solar;14;META;PUERTO GAITÁN;50;50568;2999-12-31T00:00:00.000;67.2;11,653; 52.500.000.000,00 ;97;19,622
BETHA (EDPR);Eólico;270;LA GUAJIRA;MAICAO;44;44430;2022-09-30T00:00:00.000;2.592.000;449,48; 1.012.500.000.000,00 ;751;756,864
ALPHA (EDPR);Eólico;212;LA GUAJIRA;MAICAO;44;44430;2022-12-31T00:00:00.000;2.035.200;352,925; 795.000.000.000,00 ;589;594,278
MELGAR PARTE 2;Solar;5.94;TOLIMA;MELGAR;73;73449;2022-11-30T00:00:00.000;28.512;4,944; 22.275.000.000,00 ;41;8,326
ANDALUCÍA;Solar;9.9;VALLE DEL CAUCA;ANDALUCÍA;76;76036;2023-04-06T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PÉTALO DE CÓRDOBA II;Solar;9.9;CÓRDOBA;CHINÚ;23;23182;2023-03-01T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PARQUE FOTOVOLTAICO SGDE;Solar;9.9;ATLÁNTICO;MALAMBO;8;8433;2023-04-30T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PARQUE FOTOVOLTAICO JUMI;Solar;9.9;ATLÁNTICO;GALAPA;8;8296;2023-04-30T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PARQUE FOTOVOLTAICO PN1;Solar;9.9;BOLÍVAR;ARJONA;13;13052;2023-04-30T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PARQUE FOTOVOLTAICO CRLI 1;Solar;9.9;ATLÁNTICO;MANATÍ;8;8436;2023-04-30T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
PARQUE FOTOVOLTAICO OLD-T;Solar;9.9;SUCRE;SAN JOSÉ DE TOLUVIEJO;70;70823;2023-04-30T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
YUMA PARTE 2;Solar;6.93;TOLIMA;FLANDES;73;73275;2023-01-16T00:00:00.000;33.264;5,768; 25.987.500.000,00 ;48;9,713
FLANDES PARTE 2;Solar;13.93;TOLIMA;FLANDES;73;73275;2023-01-16T00:00:00.000;66.864;11,595; 52.237.500.000,00 ;97;19,524
DULIMA PARTE 2;Solar;13.93;TOLIMA;FLANDES;73;73275;2023-01-16T00:00:00.000;66.864;11,595; 52.237.500.000,00 ;97;19,524
PARQUE SOLAR LA VICTORIA 1 Y 2 (2X19 9) PARTE 2;Solar;21.89;VALLE DEL CAUCA;ZARZAL;76;76895;2023-04-25T00:00:00.000;105.072;18,221; 82.087.500.000,00 ;152;30,681
DULIMA PARTE 2;Solar;13.93;TOLIMA;FLANDES;73;73275;2023-01-16T00:00:00.000;66.864;11,595; 52.237.500.000,00 ;97;19,524
DULIMA PARTE 1;Solar;5.97;TOLIMA;FLANDES;73;73275;2022-07-31T00:00:00.000;28.656;4,969; 22.387.500.000,00 ;42;8,368
PARQUE SOLAR LA VICTORIA 1 Y 2 (2X19 9) PARTE 2;Solar;21.89;VALLE DEL CAUCA;ZARZAL;76;76895;2023-04-25T00:00:00.000;105.072;18,221; 82.087.500.000,00 ;152;30,681
PARQUE SOLAR LA VICTORIA 1 Y 2 (2X19 9) PARTE 1;Solar;17.91;VALLE DEL CAUCA;ZARZAL;76;76895;2022-07-31T00:00:00.000;85.968;14,908; 67.162.500.000,00 ;125;25,103
SAN ISIDRO;Solar;19.09;CAUCA;PUERTO TEJADA;19;19573;2023-07-31T00:00:00.000;91.632;15,89; 71.587.500.000,00 ;133;26,757
RUBIALES;Solar;87;META;PUERTO GAITÁN;50;50568;2023-11-30T00:00:00.000;417.6;72,416; 326.250.000.000,00 ;606;121,939
CHICAMOCHA (1-3);Solar;59.7;SANTANDER;LOS SANTOS;68;68418;2023-06-30T00:00:00.000;286.56;49,692; 223.875.000.000,00 ;416;83,676
PUERTA DE ORO Fase 1;Solar;120;CUNDINAMARCA;GUADUAS;25;25320;2999-12-31T00:00:00.000;576;99,884; 450.000.000.000,00 ;835;168,192
GUAYEPO FASE I;Solar;200;ATLÁNTICO;SABANALARGA;8;8638;2023-05-31T00:00:00.000;960;166,474; 750.000.000.000,00 ;1,392;280,32
CORONA GIRARDOTA;Solar;3.69;ANTIOQUIA;GIRARDOTA;5;5308;2023-01-29T00:00:00.000;17.712;3,071; 13.837.500.000,00 ;26;5,172
CETESA SUESCA;Solar;4.22;CUNDINAMARCA;SUESCA;25;25772;2023-01-29T00:00:00.000;20.256;3,513; 15.825.000.000,00 ;29;5,915
